品种,板块,子节点,图名称,同花顺概念名,知几ID,知几名称,置信度
SN,,3.1.4,印尼锡矿出口量时序图,印尼锡矿出口量,a10173511,韩国海关: 锡矿出口量: 印度尼西亚: 月度,A
SN,,3.1.5,国内锡矿加工费TC时序图,国内锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,海外锡矿加工费TC时序图,海外锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,分国别锡矿加工费TC时序图,分国别锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,锡矿加工费TC分地区时序图,锡矿加工费TC分地区,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,缅甸锡矿加工费TC时序图,缅甸锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,B
SN,,3.2.1,国内精炼锡产量时序图,国内精炼锡产量,a10003083,SMM: 国内精炼锡产量: 月度,A
SN,,3.2.1,海外精炼锡产量时序图,海外精炼锡产量,ID01838775,精炼锡：产量：印尼：天马（季）,A
SN,,3.2.1,国内精炼锡开工率时序图,国内精炼锡开工率,a10113278,SMM: 精炼锡_云南开工率: 周度,A
SN,,3.2.1,国内精炼锡产能利用率时序图,国内精炼锡产能利用率,a10005270,SMM: 国内精炼锡产能: 月度,A
SN,,3.2.1,国内精炼锡社会库存时序图,国内精炼锡社会库存,a10020743,SMM: 锡锭社会库存: 上海: 周度,A
SN,,3.2.2,国内精炼锡检修量时序图,国内精炼锡检修量,a10003083,SMM: 国内精炼锡产量: 月度,A
SN,,3.2.2,海外精炼锡开工率时序图,海外精炼锡开工率,a10113278,SMM: 精炼锡_云南开工率: 周度,A
SN,,3.2.2,海外精炼锡检修量时序图,海外精炼锡检修量,a10171683,韩国海关: 精炼锡进口量_总计: 月度,A
SN,,3.2.2,国内精炼锡开工天数时序图,国内精炼锡开工天数,a10003083,SMM: 国内精炼锡产量: 月度,A
SN,,3.2.2,国内精炼锡产能时序图,国内精炼锡产能,a10005270,SMM: 国内精炼锡产能: 月度,A
SN,,3.2.3,再生锡产量时序图,再生锡产量,a10099502,SMM: 国内精炼锡再生产量: 月度,A
SN,,3.2.3,再生锡进口量时序图,再生锡进口量,a12840346,SMM: 锡锭美国进口量: 月度,A
SN,,3.2.3,再生锡开工率时序图,再生锡开工率,a12755114,JFX,ICDX: 锡锭_印尼交易所成交量-TINPB300: 日度,B
SN,,3.2.3,再生锡检修量时序图,再生锡检修量,a10099502,SMM: 国内精炼锡再生产量: 月度,A
SN,,3.2.3,再生锡产能利用率时序图,再生锡产能利用率,a10099502,SMM: 国内精炼锡再生产量: 月度,B
SN,,3.2.4,国内精炼锡冶炼利润时序图,国内精炼锡冶炼利润,a10003083,SMM: 国内精炼锡产量: 月度,A
SN,,3.2.4,海外精炼锡冶炼利润时序图,海外精炼锡冶炼利润,ID01838775,精炼锡：产量：印尼：天马（季）,A
SN,,3.2.4,锡锭冶炼利润时序图,锡锭冶炼利润,n00110733,NBS: 黑色金属冶炼和压延加工业营业利润_累计值: 月度,B
SN,,3.2.4,再生锡冶炼利润时序图,再生锡冶炼利润,a10099502,SMM: 国内精炼锡再生产量: 月度,A
SN,,3.2.4,缅甸锡矿冶炼利润时序图,缅甸锡矿冶炼利润,a10099495,中国海关: 锡矿进口量: 缅甸: 月度,A
SN,,4.1,沪锡交易所库存时序图,沪锡交易所库存,a10024444,SHFE: 锡: 库存周报分地区_上海: 本周库存期货: 周度,A
SN,,4.1,LME锡交易所库存时序图,LME锡交易所库存,ID02226171,LME：锡：原产国库存：埃及（月）,A
SN,,4.1,沪锡仓单注册量时序图,沪锡仓单注册量,a10024410,SHFE: 锡: 仓单日报分地区_上海: 期货: 日度,A
SN,,4.1,沪锡仓单总量时序图,沪锡仓单总量,a10024410,SHFE: 锡: 仓单日报分地区_上海: 期货: 日度,A
SN,,4.1,沪锡仓单注册量与LME锡仓单总量时序图,沪锡仓单注册量与LME锡仓单总量,a10024410,SHFE: 锡: 仓单日报分地区_上海: 期货: 日度,A
SN,,4.2,沪锡注销仓单量时序图,沪锡注销仓单量,a10024410,SHFE: 锡: 仓单日报分地区_上海: 期货: 日度,A
SN,,4.2,沪锡注销占比时序图,沪锡注销占比,a10193739,LME: 锡: 注销仓单: 日度,A
SN,,4.2,LME锡注销仓单量时序图,LME锡注销仓单量,a10193739,LME: 锡: 注销仓单: 日度,A
SN,,4.2,LME锡注销仓单占比时序图,LME锡注销仓单占比,a10193739,LME: 锡: 注销仓单: 日度,A
SN,,4.2,沪锡仓单总量时序图,沪锡仓单总量,a10024410,SHFE: 锡: 仓单日报分地区_上海: 期货: 日度,A
SN,,4.3,国内社会库存总量时序图,国内社会库存总量,a10020744,SMM: 锡锭社会库存: 总库存: 周度,A
SN,,4.3,厂内库存时序图,厂内库存,a10167094,SMM: 国内锡市平衡（新）: 厂库库存变化: 月度,A
SN,,4.3,国内社会库存分地区时序图,国内社会库存分地区,a10020743,SMM: 锡锭社会库存: 上海: 周度,A
SN,,4.3,国内社会库存与沪锡主力合约收盘价时序图,国内社会库存与沪锡主力合约收盘价,a10024116,SHFE: 锡: 主力合约: 收盘价: 日度,A
SN,,4.3,国内社会库存天数时序图,国内社会库存天数,a10020743,SMM: 锡锭社会库存: 上海: 周度,A
SN,,4.4,国内工厂库存总量时序图,国内工厂库存总量,a12715352,SMM: 无锡铝锭日度库存量: 日度,A
SN,,4.4,厂内库存时序图,厂内库存,a10167094,SMM: 国内锡市平衡（新）: 厂库库存变化: 月度,A
SN,,4.4,国内工厂库存分地区时序图,国内工厂库存分地区,a10016336,SMM: 铝棒地区库存: 无锡: 周度,A
SN,,4.4,工厂库存总量与沪锡主力合约收盘价时序图,工厂库存总量与沪锡主力合约收盘价,a12841482,SMM: 沪锡期现价差: 当月合约: 收盘价: 日度,A
SN,,4.4,工厂库存天数时序图,工厂库存天数,a12810889,SMM: 锡材成品库存天数: 月度,A
SN,,4.5,隐性库存总量时序图,隐性库存总量,a12715352,SMM: 无锡铝锭日度库存量: 日度,A
SN,,4.5,在途库存总量时序图,在途库存总量,a12715352,SMM: 无锡铝锭日度库存量: 日度,A
SN,,4.5,隐性库存占比时序图,隐性库存占比,a10003096,SMM: 锡锭企业库存: 月度,A
SN,,4.5,在途库存占比时序图,在途库存占比,a10003096,SMM: 锡锭企业库存: 月度,A
SN,,4.5,隐性库存与在途库存总量时序图,隐性库存与在途库存总量,a12715352,SMM: 无锡铝锭日度库存量: 日度,A
SN,,7.1,冶炼成本时序图,冶炼成本,a10097654,SMM: 300系不锈钢: 其他原料及冶炼成本占比: 日度,B
SN,,7.1,现金成本时序图,现金成本,a12755854,SMM: 镨钕金属现金成本: 周度,C
SN,,7.1,加工费时序图,加工费,a10179335,SMM: PX加工费: 日度,B
SN,,7.1,冶炼利润时序图,冶炼利润,a12763812,SMM: 氢氧化锂生产利润: 冶炼法: 日度,C
SN,,7.1,冶炼利润分位时序图,冶炼利润分位,n00110733,NBS: 黑色金属冶炼和压延加工业营业利润_累计值: 月度,B
SN,,7.2,冶炼利润时序图,冶炼利润,a12763812,SMM: 氢氧化锂生产利润: 冶炼法: 日度,C
SN,,7.2,加工费时序图,加工费,a10179335,SMM: PX加工费: 日度,B
SN,,7.2,锡锭冶炼利润时序图,锡锭冶炼利润,n00110733,NBS: 黑色金属冶炼和压延加工业营业利润_累计值: 月度,B
SN,,7.2,冶炼成本时序图,冶炼成本,a10097654,SMM: 300系不锈钢: 其他原料及冶炼成本占比: 日度,B
SN,,7.2,现金成本时序图,现金成本,a12755854,SMM: 镨钕金属现金成本: 周度,C
SN,,7.3,电价时序图,电价,a10127009,LME: 电子盘: 锡: 开盘价: 日度,B
SN,,7.3,锡精矿价格时序图,锡精矿价格,s20002973,SMM: 60%锡精矿(湖南)-最低价: 日度,A
SN,,7.3,再生锡价格时序图,再生锡价格,a10099502,SMM: 国内精炼锡再生产量: 月度,B
SN,,7.3,原料成本时序图,原料成本,a10169370,SMM: MHP原料成本: 月度,C
SN,,7.3,能源成本时序图,能源成本,a10174237,SMM: 氧化铝成本模型: 能源成本: 日度,C
SN,,7.3,缅甸锡矿价格时序图,缅甸锡矿价格,a10154831,SMM: 预估从缅甸进口锡矿量: 月度,A
SN,,7.3,缅甸锡矿加工费TC时序图,缅甸锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,6.1,锡精矿进口量时序图,锡精矿进口量,ID02105844,锡精矿：进口数量：缅甸→中国（月）,A
SN,,6.1,再生锡进口量时序图,再生锡进口量,a12840346,SMM: 锡锭美国进口量: 月度,A
SN,,6.1,锡精矿进口量分国别时序图,锡精矿进口量分国别,ID02105844,锡精矿：进口数量：缅甸→中国（月）,A
SN,,6.1,再生锡进口量分国别时序图,再生锡进口量分国别,a12840346,SMM: 锡锭美国进口量: 月度,A
SN,,6.1,锡精矿与再生锡进口量时序图,锡精矿与再生锡进口量,a10099502,SMM: 国内精炼锡再生产量: 月度,A
SN,,6.2,精炼锡进口量时序图,精炼锡进口量,a10171683,韩国海关: 精炼锡进口量_总计: 月度,A
SN,,6.2,精炼锡出口量时序图,精炼锡出口量,a10171691,韩国海关: 精炼锡出口量_中国: 月度,A
